# chip table
# NumData 30
#   ChipID,  ImgID,  NameID,  roi[tl_x  tl_y  w  h],  theta
         1,      1,       3,  [1128  706  286  551],    0.0
         2,      1,       3,  [1072  324  232  255],    0.0
         3,      1,       3,      [944 715 193 246],    0.0
         4,      2,       3,  [1002  616  379  370],    0.0
         5,      2,       3,      [943 472 279 155],    0.0
         6,      2,       3,      [856 714 157 189],    0.0
         7,      3,       3,      [956 720 394 358],    0.0
         8,      3,       3,  [1072  295  135  436],    0.0
         9,      4,       3,      [936 553 234 467],    0.0
        10,      4,       3,      [618 472 325 249],    0.0
        11,      4,       3,  [1163  848  256  129],    0.0
        12,      4,       3,      [441 464 187 151],    0.0
        13,      5,       3,      [683 576 541 226],    0.0
        14,      5,       3,  [1096  796  201  315],    0.0
        15,      5,       3,  [1176 1104  491   75],    0.0
        16,      5,       3,  [1296  749  123  191],    0.0
        17,      5,       3,      [620 528 414  55],    0.0
        18,      5,       3,  [1449  928  211   81],    0.0
        19,      6,       3,      [952 640 335 418],    0.0
        20,      6,       3,      [754 496 331 157],    0.0
        21,      6,       3,  [1277  968  294   69],    0.0
        22,      7,       3,      [993 672 415 381],    0.0
        23,      7,       3,      [826 560 372 123],    0.0
        24,      7,       3,  [1400  708   44  554],    0.0
        25,      8,       3,      [814 728 597 435],    0.0
        26,      8,       3,      [880 632 371 109],    0.0
        27,      9,       3,      [827 568 521 305],    0.0
        28,      9,       3,  [1154  952  427  108],    0.0
        29,      9,       3,      [673 561 169 169],    0.0
        30,      9,       3,  [1106  864  257   91],    0.0
