# image table
# NumData 30
#   gid,                                              gname,    aif
      1,  02__Station04__Camera1__2012-7-5__12-17-34(2).JPG,  False
      2,  02__Station04__Camera1__2012-7-5__12-17-36(3).JPG,  False
      3,  02__Station04__Camera1__2012-7-5__12-17-40(8).JPG,  False
      4,  02__Station04__Camera1__2012-7-5__12-17-40(9).JPG,  False
      5,  02__Station04__Camera1__2012-7-5__12-17-42(0).JPG,  False
      6,  02__Station04__Camera1__2012-7-5__12-17-46(3).JPG,  False
      7,  02__Station04__Camera1__2012-7-5__17-10-16(2).JPG,  False
      8,  02__Station04__Camera1__2012-7-5__17-10-16(3).JPG,  False
      9,  02__Station04__Camera1__2012-7-5__17-10-20(8).JPG,  False
     10,  02__Station04__Camera1__2012-7-5__17-10-30(1).JPG,  False
     11,  02__Station06__Camera1__2012-7-10__3-22-12(9).JPG,  False
     12,  02__Station06__Camera1__2012-7-10__3-22-16(2).JPG,  False
     13,  02__Station06__Camera1__2012-7-10__3-22-26(4).JPG,  False
     14,  02__Station06__Camera1__2012-7-10__3-22-32(1).JPG,  False
     15,  02__Station06__Camera1__2012-7-10__3-22-34(3).JPG,  False
     16,  02__Station06__Camera1__2012-7-10__3-22-36(6).JPG,  False
     17,   02__Station06__Camera1__2012-7-10__3-22-8(2).JPG,  False
     18,  02__Station13__Camera1__2012-8-6__12-16-32(9).JPG,  False
     19,  02__Station13__Camera1__2012-8-6__12-16-42(5).JPG,  False
     20,  02__Station13__Camera1__2012-8-6__12-17-18(1).JPG,  False
     21,  02__Station13__Camera1__2012-8-6__12-17-22(3).JPG,  False
     22,  02__Station13__Camera1__2012-8-6__12-17-24(5).JPG,  False
     23,  02__Station13__Camera1__2012-8-6__12-17-26(6).JPG,  False
     24,  02__Station13__Camera1__2012-8-6__12-17-40(2).JPG,  False
     25,  02__Station13__Camera1__2012-8-6__12-17-44(5).JPG,  False
     26,  02__Station13__Camera1__2012-8-6__12-17-46(8).JPG,  False
     27,  02__Station13__Camera1__2012-8-6__12-17-56(3).JPG,  False
     28,   02__Station13__Camera1__2012-8-6__12-17-6(2).JPG,  False
     29,  02__Station13__Camera1__2012-8-6__12-18-10(3).JPG,  False
     30,  02__Station13__Camera1__2012-8-6__12-18-12(5).JPG,  False
