"Cat","HotSpotterCatName","New Name"
"Cat1","cat_1","02__Station14__Camera1__2012-7-24__21-55-22(6).JPG"
"Cat1","cat_1","02__Station14__Camera1__2012-7-24__21-55-30(3).JPG"
"Cat1","cat_1","02__Station14__Camera1__2012-7-24__21-55-44(1).JPG"
"Cat1","cat_1","02__Station14__Camera1__2012-8-8__18-14-28(4).JPG"
"Cat1","cat_1","02__Station14__Camera1__2012-8-8__18-14-32(0).JPG"
"Cat1","cat_1","02__Station14__Camera1__2012-8-8__18-14-44(9).JPG"
"Cat11","cat_1","02__Station19__Camera2__2012-6-21__1-34-44(5).JPG"
"Cat1","cat_1","02__Station22__Camera1__2012-5-13__6-14-4(5).JPG"
"Cat11\Cat12","cat_1","02__Station22__Camera1__2012-5-4__2-4-16(7).JPG"
"Cat11\Cat12","cat_1","02__Station22__Camera1__2012-5-9__4-3-2(3).JPG"
"Cat5","cat_1","02__Station24__Camera1__2012-8-14__4-19-42(2).JPG"
"Cat13","cat_1","02__Station24__Camera1__2012-8-28__1-55-54(9).JPG"
"Cat13\Cat14\Cat15","cat_2","02__Station24__Camera1__2012-9-14__16-56-56(6).JPG"
"Cat13\Cat14\Cat15","cat_2","02__Station24__Camera1__2012-9-14__16-57-0(1).JPG"
"Cat13\Cat14\Cat15","cat_2","02__Station24__Camera1__2012-9-14__16-57-32(1).JPG"
"Cat13\Cat14\Cat15","cat_2","02__Station24__Camera1__2012-9-14__16-57-52(7).JPG"
"Cat13\Cat14\Cat15","cat_2","02__Station24__Camera1__2012-9-14__16-58-40(7).JPG"
"Cat13\Cat14\Cat15","cat_2","02__Station24__Camera1__2012-9-14__17-0-56(3).JPG"
"Cat13\Cat14\Cat15","cat_2","02__Station24__Camera1__2012-9-14__17-0-58(7).JPG"
"Cat13\Cat14\Cat15","cat_2","02__Station24__Camera1__2012-9-14__17-1-0(8).JPG"
"Cat13\Cat14\Cat15","cat_2","02__Station24__Camera1__2012-9-14__17-12-18(8).JPG"
"Cat13\Cat14\Cat15","cat_2","02__Station24__Camera1__2012-9-14__17-12-32(3).JPG"
"Cat13\Cat14\Cat15","cat_2","02__Station24__Camera1__2012-9-14__17-12-36(9).JPG"
"Cat13\Cat14\Cat15","cat_2","02__Station24__Camera1__2012-9-14__17-7-6(1).JPG"
"Cat13\Cat14\Cat15","cat_2","02__Station24__Camera1__2012-9-14__17-9-12(2).JPG"
"Cat1","cat_1","02__Station32__Camera1__2012-7-14__4-48-52(3).JPG"
"Cat1","cat_1","02__Station32__Camera1__2012-7-14__4-49-38(5).JPG"
"Cat1","cat_1","02__Station32__Camera1__2012-7-14__4-49-8(8).JPG"
"Cat1","cat_1","02__Station32__Camera1__2012-8-10__21-8-2(5).JPG"
"Cat1","cat_1","02__Station32__Camera1__2012-8-10__21-8-6(0).JPG"
