# chip table
# NumData 68
#   ChipID,  ImgID,  NameID,  roi[tl_x  tl_y  w  h],  theta
         1,      1,       0,      [  0 736 635 344],    0.0
         2,      2,       0,      [  0 760 541 320],    0.0
         3,      3,       0,      [  0 728 445 352],    0.0
         4,      3,       0,  [ 390 1024 1017   56],    0.0
         5,      4,       0,  [1037  752  430  328],    0.0
         6,      4,       0,      [710 928 381 152],    0.0
         7,      5,       0,      [  0 616 347 250],    0.0
         8,      5,       0,  [1216  812  162  268],    0.0
         9,      5,       0,      [304 603 161 177],    0.0
        10,      6,       0,      [  0 616 746 251],    0.0
        11,      7,       0,      [ 74 608 701 262],    0.0
        12,      7,       0,      [  0 633 162 248],    0.0
        13,      8,       0,      [139 688 583 188],    0.0
        14,      8,       0,      [793 920 465 160],    0.0
        15,      8,       0,  [1109  713  227  227],    0.0
        16,      9,       0,      [992 784 426 296],    0.0
        17,      9,       0,      [249 512 340 180],    0.0
        18,      9,       0,      [624 639  72 441],    0.0
        19,     10,       0,      [320 484 268 275],    0.0
        20,     10,       0,  [1110  824  311  123],    0.0
        21,     10,       0,  [1039  936  162  144],    0.0
        22,     11,       0,      [480 584 338 273],    0.0
        23,     11,       0,      [720 823  98 257],    0.0
        24,     11,       0,      [481 536 276  82],    0.0
        25,     12,       0,      [736 634 231 446],    0.0
        26,     12,       0,      [944 651  99 303],    0.0
        27,     13,       0,  [ 220  752 1217  328],    0.0
        28,     14,       0,  [1079  640  325  195],    0.0
        29,     14,       0,  [1189  592  229   72],    0.0
        30,     15,       0,  [1080  632  334  242],    0.0
        31,     15,       0,  [1215  576  244   86],    0.0
        32,     16,       0,  [1083  648  684  432],    0.0
        33,     17,       0,  [1226  592  295  189],    0.0
        34,     17,       0,  [1051  664  212  105],    0.0
        35,     17,       0,  [1485  522  139  139],    0.0
        36,     18,       0,      [552   0 398 916],    0.0
        37,     18,       0,      [424 294 178 622],    0.0
        38,     18,       0,      [904 144 167 493],    0.0
        39,     19,       0,      [466 608 842 251],    0.0
        40,     19,       0,  [1078  432  665  207],    0.0
        41,     19,       0,      [291 832 840  82],    0.0
        42,     20,       0,  [1408  128  640  533],    0.0
        43,     20,       0,  [1200  316  288  383],    0.0
        44,     21,       0,  [1360    0  688 1003],    0.0
        45,     22,       0,      [381 408 979 754],    0.0
        46,     22,       0,  [1238  496  567  448],    0.0
        47,     23,       0,  [1055  132  422  422],    0.0
        48,     23,       0,      [840 539 251 490],    0.0
        49,     23,       0,  [1466 1312  284  224],    0.0
        50,     23,       0,      [848 968 106 568],    0.0
        51,     23,       0,  [1064  502  188  301],    0.0
        52,     24,       0,      [960 426 344 515],    0.0
        53,     24,       0,  [1056  112  153  378],    0.0
        54,     25,       0,      [440 475 249 279],    0.0
        55,     25,       0,      [488 432 304  78],    0.0
        56,     26,       0,      [448 471 222 294],    0.0
        57,     26,       0,      [648 367  57 333],    0.0
        58,     27,       0,      [977 416 618 332],    0.0
        59,     27,       0,  [1037  712  526   85],    0.0
        60,     28,       0,  [ 360  232 1099  370],    0.0
        61,     28,       0,      [106 336 343 326],    0.0
        62,     28,       0,  [1384    0  240  463],    0.0
        63,     28,       0,      [648 556 228 429],    0.0
        64,     29,       0,      [  0 600 511 480],    0.0
        65,     29,       0,      [484 464 805 286],    0.0
        66,     30,       0,      [680 424 917 289],    0.0
        67,     30,       0,  [1360  677  274  403],    0.0
        68,     30,       0,      [544 507 251 351],    0.0
