# image table
# NumData 30
#   gid,                                               gname,    aif
      1,  02__Station13__Camera1__2012-8-16__23-48-34(1).JPG,  False
      2,  02__Station13__Camera1__2012-8-16__23-48-36(5).JPG,  False
      3,  02__Station13__Camera1__2012-8-16__23-48-38(6).JPG,  False
      4,  02__Station13__Camera1__2012-8-16__23-48-52(3).JPG,  False
      5,  02__Station13__Camera1__2012-8-22__20-24-28(5).JPG,  False
      6,  02__Station13__Camera1__2012-8-22__20-24-48(9).JPG,  False
      7,   02__Station13__Camera1__2012-8-22__20-26-0(7).JPG,  False
      8,  02__Station13__Camera1__2012-8-22__20-26-14(6).JPG,  False
      9,   02__Station13__Camera1__2012-9-13__2-21-26(9).JPG,  False
     10,   02__Station13__Camera1__2012-9-13__2-21-36(3).JPG,  False
     11,   02__Station13__Camera1__2012-9-13__2-21-52(4).JPG,  False
     12,  02__Station14__Camera1__2012-7-24__21-55-22(4).JPG,  False
     13,  02__Station14__Camera1__2012-7-24__21-55-34(0).JPG,  False
     14,  02__Station14__Camera1__2012-7-24__21-55-42(0).JPG,  False
     15,  02__Station14__Camera1__2012-7-24__21-55-44(2).JPG,  False
     16,   02__Station14__Camera1__2012-8-8__18-14-32(8).JPG,  False
     17,   02__Station14__Camera1__2012-8-8__18-14-44(0).JPG,  False
     18,   02__Station18__Camera1__2012-7-29__4-49-36(5).JPG,  False
     19,   02__Station18__Camera1__2012-8-4__16-23-46(1).JPG,  False
     20,     02__Station22__Camera1__2012-5-9__4-2-28(9).JPG,  False
     21,     02__Station22__Camera1__2012-5-9__4-3-58(8).JPG,  False
     22,     02__Station22__Camera1__2012-5-9__4-4-24(5).JPG,  False
     23,   02__Station24__Camera1__2012-8-14__4-19-44(4).JPG,  False
     24,   02__Station24__Camera1__2012-8-27__16-0-44(4).JPG,  False
     25,   02__Station24__Camera1__2012-9-14__16-57-2(4).JPG,  False
     26,   02__Station24__Camera1__2012-9-14__16-57-4(8).JPG,  False
     27,  02__Station24__Camera1__2012-9-14__16-58-36(0).JPG,  False
     28,  02__Station24__Camera1__2012-9-14__16-58-38(1).JPG,  False
     29,   02__Station24__Camera1__2012-9-14__16-58-4(4).JPG,  False
     30,  02__Station24__Camera1__2012-9-14__16-59-12(7).JPG,  False
