"Cat","HotSpotterCatName","winningLabel","CorrectIdentification","New Name"
"Cat21","cat_1","cat_1","1","01__Station05__Camera1__2012-7-26__13-25-32(1).JPG"
"Cat21","cat_1","cat_1","1","01__Station05__Camera1__2012-7-26__13-25-44(6).JPG"
"Cat23","cat_4","","0","01__Station05__Camera1__2012-9-10__11-47-50(4).JPG"
"Cat23","cat_4","","0","01__Station05__Camera1__2012-9-10__11-48-14(3).JPG"
"Cat1","cat_4","cat_4","1","02__Station04__Camera1__2012-7-5__17-10-20(7).JPG"
"Cat2","cat_2","cat_2","1","02__Station06__Camera1__2012-7-10__3-22-12(6).JPG"
"Cat2","cat_2","cat_2","1","02__Station06__Camera1__2012-7-10__3-22-46(0).JPG"
"Cat2","cat_2","cat_2","1","02__Station06__Camera1__2012-7-10__3-23-16(6).JPG"
"Cat2","cat_2","cat_2","1","02__Station06__Camera1__2012-8-18__8-30-10(7).JPG"
"Cat2","cat_2","cat_2","1","02__Station06__Camera1__2012-8-18__8-30-32(3).JPG"
"Cat1","cat_4","cat_4","1","02__Station12__Camera2__2012-6-14__11-53-36(6).JPG"
"Cat1","cat_4","cat_4","1","02__Station12__Camera2__2012-6-14__11-53-48(8).JPG"
"Cat1","cat_4","cat_4","1","02__Station12__Camera2__2012-6-14__11-53-50(1).JPG"
"Cat4","cat_3","cat_3","1","02__Station13__Camera1__2012-7-18__6-47-2(0).JPG"
"Cat4","cat_3","cat_3","1","02__Station13__Camera1__2012-7-18__6-47-20(5).JPG"
"Cat4","cat_3","cat_3","1","02__Station13__Camera1__2012-7-18__6-47-26(5).JPG"
"Cat4","cat_3","cat_3","1","02__Station13__Camera1__2012-7-18__6-47-28(7).JPG"
"Cat4","cat_3","cat_3","1","02__Station13__Camera1__2012-7-18__6-47-36(8).JPG"
"Cat4","cat_3","cat_3","1","02__Station13__Camera1__2012-7-18__6-47-40(2).JPG"
"Cat4","cat_3","cat_3","1","02__Station13__Camera1__2012-7-18__6-47-6(4).JPG"
"Cat4","cat_4","cat_3","0","02__Station13__Camera1__2012-8-1__18-13-10(1).JPG"
"Cat4","cat_4","cat_3","0","02__Station13__Camera1__2012-8-1__18-13-10(2).JPG"
"Cat3","cat_5","cat_5","1","02__Station13__Camera1__2012-8-22__20-24-30(7).JPG"
"Cat3","cat_5","cat_5","1","02__Station13__Camera1__2012-8-22__20-25-22(7).JPG"
"Cat1","cat_3","cat_4","0","02__Station16__Camera1__2012-7-26__7-13-4(0).JPG"
"Cat11\Cat12","cat_6","cat_6","1","02__Station18__Camera1__2012-7-29__4-49-56(3).JPG"
"Cat1","cat_7","cat_4","0","02__Station18__Camera1__2012-8-4__16-23-40(3).JPG"
"Cat1","cat_7","cat_4","0","02__Station18__Camera1__2012-8-4__16-23-42(5).JPG"
"Cat1","cat_4","cat_4","1","02__Station22__Camera1__2012-5-13__6-14-32(3).JPG"
"Cat11\Cat12","cat_4","cat_6","0","02__Station22__Camera1__2012-5-4__2-5-2(2).JPG"
