# image table
# NumData 30
#   gid,                                               gname,    aif
      1,  01__Station05__Camera1__2012-7-26__13-25-32(1).JPG,  False
      2,  01__Station05__Camera1__2012-7-26__13-25-44(6).JPG,  False
      3,  01__Station05__Camera1__2012-9-10__11-47-50(4).JPG,  False
      4,  01__Station05__Camera1__2012-9-10__11-48-14(3).JPG,  False
      5,   02__Station04__Camera1__2012-7-5__17-10-20(7).JPG,  False
      6,   02__Station06__Camera1__2012-7-10__3-22-12(6).JPG,  False
      7,   02__Station06__Camera1__2012-7-10__3-22-46(0).JPG,  False
      8,   02__Station06__Camera1__2012-7-10__3-23-16(6).JPG,  False
      9,   02__Station06__Camera1__2012-8-18__8-30-10(7).JPG,  False
     10,   02__Station06__Camera1__2012-8-18__8-30-32(3).JPG,  False
     11,  02__Station12__Camera2__2012-6-14__11-53-36(6).JPG,  False
     12,  02__Station12__Camera2__2012-6-14__11-53-48(8).JPG,  False
     13,  02__Station12__Camera2__2012-6-14__11-53-50(1).JPG,  False
     14,    02__Station13__Camera1__2012-7-18__6-47-2(0).JPG,  False
     15,   02__Station13__Camera1__2012-7-18__6-47-20(5).JPG,  False
     16,   02__Station13__Camera1__2012-7-18__6-47-26(5).JPG,  False
     17,   02__Station13__Camera1__2012-7-18__6-47-28(7).JPG,  False
     18,   02__Station13__Camera1__2012-7-18__6-47-36(8).JPG,  False
     19,   02__Station13__Camera1__2012-7-18__6-47-40(2).JPG,  False
     20,    02__Station13__Camera1__2012-7-18__6-47-6(4).JPG,  False
     21,   02__Station13__Camera1__2012-8-1__18-13-10(1).JPG,  False
     22,   02__Station13__Camera1__2012-8-1__18-13-10(2).JPG,  False
     23,  02__Station13__Camera1__2012-8-22__20-24-30(7).JPG,  False
     24,  02__Station13__Camera1__2012-8-22__20-25-22(7).JPG,  False
     25,    02__Station16__Camera1__2012-7-26__7-13-4(0).JPG,  False
     26,   02__Station18__Camera1__2012-7-29__4-49-56(3).JPG,  False
     27,   02__Station18__Camera1__2012-8-4__16-23-40(3).JPG,  False
     28,   02__Station18__Camera1__2012-8-4__16-23-42(5).JPG,  False
     29,   02__Station22__Camera1__2012-5-13__6-14-32(3).JPG,  False
     30,      02__Station22__Camera1__2012-5-4__2-5-2(2).JPG,  False
