# chip table
# NumData 65
#   ChipID,  ImgID,  NameID,  roi[tl_x  tl_y  w  h],  theta
         1,      1,       2,      [126 304 303 290],    0.0
         2,      1,       2,      [120 558 164 205],    0.0
         3,      2,       2,      [  0 323 293 392],    0.0
         4,      2,       2,      [257 312 335 191],    0.0
         5,      3,       2,      [  0 352 506 246],    0.0
         6,      4,       2,      [  0 368 499 226],    0.0
         7,      4,       2,      [  0 320 333  76],    0.0
         8,      5,       2,      [  0 368 511 230],    0.0
         9,      6,       2,      [164 352 497 226],    0.0
        10,      6,       2,      [599 440 179 140],    0.0
        11,      7,       2,      [194 336 448 209],    0.0
        12,      7,       2,      [120 422 130 163],    0.0
        13,      8,       2,      [220 328 461 206],    0.0
        14,      8,       2,      [144 389 134 212],    0.0
        15,      9,       2,      [226 320 442 223],    0.0
        16,      9,       2,      [144 386 137 198],    0.0
        17,     10,       2,      [191 336 452 198],    0.0
        18,     10,       2,      [120 421 127 180],    0.0
        19,     11,       2,      [342 400 380 197],    0.0
        20,     11,       2,      [382 336 249  89],    0.0
        21,     12,       2,      [337 384 409 180],    0.0
        22,     12,       2,      [221 544 435  44],    0.0
        23,     13,       2,      [354 360 352 222],    0.0
        24,     13,       2,      [445 312 292  76],    0.0
        25,     14,       3,      [445 856 646 267],    0.0
        26,     14,       3,      [582 800 605  89],    0.0
        27,     14,       3,  [ 632 1090  223  241],    0.0
        28,     14,       3,  [1615 1048  196  186],    0.0
        29,     15,       3,  [ 250 1016 1405  311],    0.0
        30,     15,       3,  [ 144 1296  679  240],    0.0
        31,     15,       3,      [537 768 433 287],    0.0
        32,     16,       3,  [ 109 1008 1939  528],    0.0
        33,     17,       3,  [1095  936  501  316],    0.0
        34,     17,       3,  [1615 1240  433  122],    0.0
        35,     18,       3,  [1092  984  551  551],    0.0
        36,     18,       3,  [  70 1472 1835   64],    0.0
        37,     18,       3,  [1575 1240  343  240],    0.0
        38,     19,       4,  [1424  343  159  268],    0.0
        39,     19,       4,  [1600  563  129  172],    0.0
        40,     19,       4,  [1368  433   76  178],    0.0
        41,     19,       4,  [1452  280  104   96],    0.0
        42,     20,       4,  [1432  341  157  272],    0.0
        43,     20,       4,  [1640  621  138  163],    0.0
        44,     20,       4,  [1584  494   73  208],    0.0
        45,     20,       4,  [1368  435   84  178],    0.0
        46,     21,       4,  [1054  440  542  335],    0.0
        47,     22,       4,      [906 408 537 309],    0.0
        48,     22,       4,  [1376  496  138  302],    0.0
        49,     23,       4,      [893 384 535 341],    0.0
        50,     23,       4,      [832 336 488  91],    0.0
        51,     24,       4,      [885 392 553 335],    0.0
        52,     25,       4,      [864 442 221 322],    0.0
        53,     25,       4,  [1064  596  113  207],    0.0
        54,     25,       4,      [870 368 143 114],    0.0
        55,     26,       4,      [864 460 255 313],    0.0
        56,     26,       4,  [1301  776  619   53],    0.0
        57,     26,       4,      [891 736 362  63],    0.0
        58,     27,       4,      [872 451 267 355],    0.0
        59,     27,       4,      [878 768 450  44],    0.0
        60,     28,       4,      [937 472 307 307],    0.0
        61,     28,       4,  [1206  672  462  117],    0.0
        62,     29,       4,  [1008  459  247  353],    0.0
        63,     29,       4,  [1225  704  188  140],    0.0
        64,     30,       4,  [1226  440  380  319],    0.0
        65,     30,       4,  [1107  384  396   96],    0.0
