# chip table
# NumData 57
#   ChipID,  ImgID,  NameID,  roi[tl_x  tl_y  w  h],  theta
         1,      1,       0,  [1200  736  443  344],    0.0
         2,      1,       0,      [958 680 526  56],    0.0
         3,      1,       0,  [1644  920  163  160],    0.0
         4,      1,       0,  [1024  744  176   84],    0.0
         5,      1,       0,  [1808  992  112   88],    0.0
         6,      1,       0,  [1648  796   70  124],    0.0
         7,      1,       0,  [1120  832   80   59],    0.0
         8,      1,       0,  [1485  704  106   32],    0.0
         9,      1,       0,      [960 573  26 107],    0.0
        10,      1,       0,  [1719  870   50   50],    0.0
        11,      2,       0,      [534 624 470 219],    0.0
        12,      2,       0,  [1005  736  257  203],    0.0
        13,      2,       0,      [366 704 168 114],    0.0
        14,      2,       0,  [1263  920  417   41],    0.0
        15,      2,       0,      [896 844 109 149],    0.0
        16,      2,       0,      [568 844  86 154],    0.0
        17,      2,       0,  [1232  962   47  118],    0.0
        18,      2,       0,  [1005  688   99   48],    0.0
        19,      2,       0,      [560 999  56  81],    0.0
        20,      2,       0,      [431 664 103  40],    0.0
        21,      2,       0,  [1263  860   60   60],    0.0
        22,      2,       0,      [928 994  40  86],    0.0
        23,      2,       0,  [1592  962   55   55],    0.0
        24,      2,       0,      [944 584  45  40],    0.0
        25,      2,       0,  [1324  912  218    8],    0.0
        26,      2,       0,  [1176  944   87   18],    0.0
        27,      2,       0,      [546   0  56  27],    0.0
        28,      2,       0,      [859 844  37  37],    0.0
        29,      2,       0,  [1280  962   36   37],    0.0
        30,      2,       0,      [487 640  47  24],    0.0
        31,      2,       0,  [1324  896   66   16],    0.0
        32,      2,       0,  [1216  963   16   63],    0.0
        33,      2,       0,      [344 774  22  44],    0.0
        34,      2,       0,  [1005  656   31   31],    0.0
        35,      2,       0,  [1263  830   30   30],    0.0
        36,      2,       0,      [655 844  30  30],    0.0
        37,      2,       0,  [1006  940   30   30],    0.0
        38,      2,       0,      [541 608  53  16],    0.0
        39,      2,       0,  [1616 1018   13   62],    0.0
        40,      2,       0,  [1648  962   28   28],    0.0
        41,      2,       0,      [866   0  28  27],    0.0
        42,      3,       0,  [1202  824  365  256],    0.0
        43,      3,       0,      [939 704 354  96],    0.0
        44,      3,       0,  [1568  953  126  127],    0.0
        45,      3,       0,  [1102  801  100  100],    0.0
        46,      3,       0,  [1294  752  135   72],    0.0
        47,      3,       0,      [935 664 239  40],    0.0
        48,      3,       0,  [1568  875   58   78],    0.0
        49,      3,       0,      [940 600  64  64],    0.0
        50,      3,       0,  [1696  989   41   91],    0.0
        51,      3,       0,  [1430  792   92   32],    0.0
        52,      3,       0,  [1056  801   46   47],    0.0
        53,      3,       0,  [1294  728   86   24],    0.0
        54,      3,       0,      [547   0  59  27],    0.0
        55,      3,       0,  [1168  902   34   43],    0.0
        56,      3,       0,  [1203  808   91   16],    0.0
        57,      3,       0,      [920 705  19  72],    0.0
