# chip table
# NumData 389
#   ChipID,  ImgID,  NameID,  roi[tl_x  tl_y  w  h],  theta
         1,      1,       0,      [486 424 351 327],    0.0
         2,      1,       0,      [629 712 348 164],    0.0
         3,      1,       0,      [962 808 200 132],    0.0
         4,      1,       0,      [800 498  99 234],    0.0
         5,      2,       0,  [1104  409  402  430],    0.0
         6,      2,       0,  [1456  622  177  306],    0.0
         7,      2,       0,      [960 440 194 254],    0.0
         8,      2,       0,  [1003  392  482   71],    0.0
         9,      2,       0,      [471 696 341  78],    0.0
        10,      3,       0,  [1320  681  201  399],    0.0
        11,      3,       0,      [809 976 536 104],    0.0
        12,      3,       0,  [1280  792   65  288],    0.0
        13,      3,       0,  [1370  616  151  115],    0.0
        14,      4,       0,  [1200  736  443  344],    0.0
        15,      4,       0,      [994 680 490  99],    0.0
        16,      4,       0,  [1592  876  183  204],    0.0
        17,      5,       0,      [983 408 524 322],    0.0
        18,      5,       0,  [1326  696  263  213],    0.0
        19,      5,       0,  [1015  376  448   72],    0.0
        20,      5,       0,      [928 499 120 231],    0.0
        21,      6,       0,      [952 432 728 335],    0.0
        22,      6,       0,  [1196  280  476  194],    0.0
        23,      6,       0,      [840 517 203 453],    0.0
        24,      6,       0,  [1024  726  166  354],    0.0
        25,      7,       0,      [177 416 424 344],    0.0
        26,      7,       0,      [  0 318 230 303],    0.0
        27,      7,       0,      [549 528 868  61],    0.0
        28,      7,       0,      [202 368 336  91],    0.0
        29,      8,       0,  [1204  856  390  224],    0.0
        30,      8,       0,  [1088  728  287  156],    0.0
        31,      8,       0,      [944 672 180 129],    0.0
        32,      8,       0,  [1546  942  138  138],    0.0
        33,      9,       0,  [1180  600  342  180],    0.0
        34,      9,       0,  [1480  509  122  176],    0.0
        35,      9,       0,  [1042  672  181  116],    0.0
        36,      9,       0,  [1294  560  201   62],    0.0
        37,     10,       0,      [960 426 344 515],    0.0
        38,     10,       0,  [1056  112  153  378],    0.0
        39,     10,       0,  [1264  484  128  381],    0.0
        40,     10,       0,      [888 581 115 377],    0.0
        41,     11,       0,      [873 480 448 427],    0.0
        42,     11,       0,      [846 856 323 224],    0.0
        43,     11,       0,  [1016    0  112  533],    0.0
        44,     11,       0,      [816 581 113 296],    0.0
        45,     12,       0,  [1104  243  580  734],    0.0
        46,     12,       0,  [1616  324  304  423],    0.0
        47,     13,       0,      [793 712 580 268],    0.0
        48,     13,       0,      [219 960 755 120],    0.0
        49,     13,       0,  [1174  952  368  128],    0.0
        50,     13,       0,  [1304  781  134  187],    0.0
        51,     14,       0,      [592 460 355 417],    0.0
        52,     14,       0,      [904 308 284 376],    0.0
        53,     14,       0,      [368 520 268 169],    0.0
        54,     14,       0,      [715 392 224 120],    0.0
        55,     14,       0,  [1200  688  106  190],    0.0
        56,     14,       0,      [981 256 189  99],    0.0
        57,     15,       0,      [971 632 508 149],    0.0
        58,     15,       0,      [936 454 134 195],    0.0
        59,     15,       0,  [1416  573  149  150],    0.0
        60,     16,       0,  [ 233  664 1102  416],    0.0
        61,     16,       0,      [411 568 673 148],    0.0
        62,     17,       0,      [379 416 680 265],    0.0
        63,     17,       0,      [747 328 352 121],    0.0
        64,     17,       0,      [177 416 287 120],    0.0
        65,     17,       0,      [976 434  83 273],    0.0
        66,     17,       0,  [1088    0   87  232],    0.0
        67,     17,       0,      [379 648 607  33],    0.0
        68,     18,       0,      [707 456 502 439],    0.0
        69,     18,       0,  [1152  689  142  391],    0.0
        70,     18,       0,      [813 360 300 151],    0.0
        71,     19,       0,  [1043  392  418  418],    0.0
        72,     19,       0,  [1416  610  235  286],    0.0
        73,     19,       0,      [928 482 167 243],    0.0
        74,     19,       0,  [1007  392  454   52],    0.0
        75,     20,       0,      [618 328 585 373],    0.0
        76,     20,       0,      [862 176 706 195],    0.0
        77,     20,       0,      [406 656 536 146],    0.0
        78,     21,       0,      [940 552 640 321],    0.0
        79,     21,       0,  [1016  496  437   96],    0.0
        80,     21,       0,      [856 663 164 254],    0.0
        81,     21,       0,  [1504  603  107  320],    0.0
        82,     22,       0,  [1280  725  239  355],    0.0
        83,     22,       0,      [831 968 479 112],    0.0
        84,     22,       0,  [1364  616  182  153],    0.0
        85,     22,       0,  [1256  764   54  316],    0.0
        86,     23,       0,      [381 408 979 754],    0.0
        87,     23,       0,  [1238  496  567  448],    0.0
        88,     23,       0,      [120 541 383 480],    0.0
        89,     23,       0,  [1005 1072  361  300],    0.0
        90,     24,       0,      [935 928 652 180],    0.0
        91,     24,       0,  [1013  840  420  110],    0.0
        92,     24,       0,      [920 963  96 242],    0.0
        93,     24,       0,  [1512  924   84  174],    0.0
        94,     25,       0,  [1008  407  441  444],    0.0
        95,     25,       0,      [904 430 159 336],    0.0
        96,     25,       0,  [1400  650  199  257],    0.0
        97,     25,       0,      [952 368 369  94],    0.0
        98,     26,       0,  [1119  656  322  186],    0.0
        99,     26,       0,  [1025  736  134  117],    0.0
       100,     26,       0,  [1234  608  217   71],    0.0
       101,     27,       0,  [1041  576  374  273],    0.0
       102,     27,       0,      [910 600 178 156],    0.0
       103,     28,       0,      [370 712 467 368],    0.0
       104,     28,       0,      [309 648 442 110],    0.0
       105,     29,       0,      [855 512 492 366],    0.0
       106,     29,       0,  [1096  167  247  391],    0.0
       107,     29,       0,      [465 960 466 120],    0.0
       108,     29,       0,      [800 682 116 293],    0.0
       109,     30,       0,  [1228  704  345  222],    0.0
       110,     30,       0,  [1440  904  324  176],    0.0
       111,     30,       0,      [942 632 329 133],    0.0
       112,     30,       0,  [1530  784  160  142],    0.0
       113,     30,       0,      [  0   0  84 261],    0.0
       114,     30,       0,  [1230  672  268   60],    0.0
       115,     31,       0,      [864   0 225 983],    0.0
       116,     31,       0,      [577 904 459 176],    0.0
       117,     31,       0,  [1061  224  280  232],    0.0
       118,     31,       0,  [1064  428   82  456],    0.0
       119,     32,       0,      [174 680 796 199],    0.0
       120,     32,       0,      [677 856 315 224],    0.0
       121,     32,       0,      [  0 864 316 216],    0.0
       122,     32,       0,      [257 624 596  81],    0.0
       123,     33,       0,      [  0 704 606 376],    0.0
       124,     33,       0,      [531 880 285 200],    0.0
       125,     34,       0,  [   0    0 1152  329],    0.0
       126,     34,       0,  [   0  288 1712   41],    0.0
       127,     34,       0,      [  0   0 144 381],    0.0
       128,     35,       0,      [638   0 879 368],    0.0
       129,     35,       0,  [1408    0  250  297],    0.0
       130,     35,       0,      [497   0 251 186],    0.0
       131,     36,       0,  [1032    0  181  814],    0.0
       132,     36,       0,      [787 720 743  94],    0.0
       133,     36,       0,  [1192  373  127  359],    0.0
       134,     36,       0,      [864 501 191 231],    0.0
       135,     36,       0,      [465 960 328 120],    0.0
       136,     36,       0,  [1244  808  286  106],    0.0
       137,     37,       0,  [1309  312  611  597],    0.0
       138,     37,       0,  [1200  428  185  462],    0.0
       139,     37,       0,  [1432  256  488  131],    0.0
       140,     38,       0,      [838 496 455 387],    0.0
       141,     38,       0,  [1096  168  227  376],    0.0
       142,     38,       0,      [824 530  71 398],    0.0
       143,     39,       0,      [936 192 317 712],    0.0
       144,     39,       0,      [609 880 421 200],    0.0
       145,     39,       0,      [832 530 144 375],    0.0
       146,     39,       0,      [936   0 167 281],    0.0
       147,     40,       0,      [872 431 419 649],    0.0
       148,     40,       0,      [992   0 155 512],    0.0
       149,     40,       0,  [1240  702  104  378],    0.0
       150,     41,       0,  [1176  321  214  759],    0.0
       151,     41,       0,  [1368  636  160  319],    0.0
       152,     41,       0,  [1128   92   75  469],    0.0
       153,     41,       0,  [1014    0  164  151],    0.0
       154,     41,       0,  [1134  992  260   88],    0.0
       155,     42,       0,  [1203  664  448  259],    0.0
       156,     42,       0,  [1495  896  303  184],    0.0
       157,     42,       0,      [963 624 296 161],    0.0
       158,     42,       0,  [1600  689   96  230],    0.0
