# image table
# NumData 102
#   gid,                                                 gname,    aif
      1,  02__Station13__Camera1__2012-08-17__12-48-51(12).JPG,  False
      2,   02__Station13__Camera1__2012-07-18__19-47-04(7).JPG,  False
      3,   01__Station5__Camera1__2012-06-19__14-57-10(14).JPG,  False
      4,    01__Station5__Camera1__2012-06-14__18-38-10(2).JPG,  False
      5,  02__Station13__Camera1__2012-07-18__19-47-08(13).JPG,  False
      6,  02__Station13__Camera1__2012-08-23__09-24-35(12).JPG,  False
      7,  01__Station14__Camera1__2012-08-31__05-08-17(13).JPG,  False
      8,    01__Station5__Camera1__2012-06-14__18-38-13(8).JPG,  False
      9,   02__Station6__Camera1__2012-08-18__21-30-30(21).JPG,  False
     10,   02__Station13__Camera1__2012-07-18__19-46-58(3).JPG,  False
     11,   02__Station13__Camera1__2012-09-13__15-21-25(7).JPG,  False
     12,   02__Station13__Camera1__2012-09-13__15-21-22(1).JPG,  False
     13,   01__Station5__Camera1__2012-06-19__14-56-56(44).JPG,  False
     14,  02__Station13__Camera1__2012-09-13__15-21-36(23).JPG,  False
     15,   02__Station6__Camera1__2012-08-18__21-30-27(19).JPG,  False
     16,   02__Station6__Camera1__2012-07-10__16-22-36(35).JPG,  False
     17,  02__Station13__Camera1__2012-09-13__15-21-39(27).JPG,  False
     18,  02__Station13__Camera1__2012-08-17__12-48-50(11).JPG,  False
     19,   02__Station13__Camera1__2012-07-18__19-47-05(8).JPG,  False
     20,  02__Station14__Camera1__2012-07-25__10-55-32(14).JPG,  False
     21,  02__Station13__Camera1__2012-08-23__09-26-12(19).JPG,  False
     22,    01__Station5__Camera1__2012-06-19__14-57-02(4).JPG,  False
     23,   02__Station12__Camera2__2012-06-14__10-54-00(1).JPG,  False
     24,    01__Station4__Camera2__2012-09-17__18-42-19(1).JPG,  False
     25,  02__Station13__Camera1__2012-07-18__19-47-10(16).JPG,  False
     26,   02__Station6__Camera1__2012-07-10__16-22-45(48).JPG,  False
     27,   02__Station6__Camera1__2012-07-10__16-22-57(67).JPG,  False
     28,    02__Station6__Camera1__2012-07-10__16-22-13(9).JPG,  False
     29,  02__Station13__Camera1__2012-08-23__09-25-58(32).JPG,  False
     30,    01__Station5__Camera1__2012-07-17__04-14-34(9).JPG,  False
     31,  02__Station13__Camera1__2012-08-23__09-24-43(22).JPG,  False
     32,   01__Station5__Camera1__2012-06-19__14-56-37(38).JPG,  False
     33,   01__Station5__Camera1__2012-06-19__14-55-47(12).JPG,  False
     34,    02__Station7__Camera1__2012-08-24__14-52-37(1).JPG,  False
     35,    02__Station7__Camera1__2012-08-24__14-52-37(2).JPG,  False
     36,  02__Station13__Camera1__2012-08-23__09-25-57(31).JPG,  False
     37,  02__Station13__Camera1__2012-08-23__09-26-15(23).JPG,  False
     38,  02__Station13__Camera1__2012-08-23__09-25-20(22).JPG,  False
     39,  02__Station13__Camera1__2012-08-23__09-24-40(20).JPG,  False
     40,   02__Station13__Camera1__2012-09-13__15-21-24(5).JPG,  False
     41,  02__Station13__Camera1__2012-09-13__15-21-28(11).JPG,  False
     42,    01__Station5__Camera1__2012-07-17__04-14-32(5).JPG,  False
     43,    02__Station6__Camera1__2012-08-18__21-30-11(7).JPG,  False
     44,  02__Station16__Camera1__2012-07-26__20-13-13(13).JPG,  False
     45,   01__Station14__Camera1__2012-08-31__05-08-13(8).JPG,  False
     46,   02__Station13__Camera1__2012-08-23__09-24-27(2).JPG,  False
     47,  02__Station13__Camera1__2012-07-18__19-47-36(52).JPG,  False
     48,   02__Station14__Camera1__2012-07-25__10-55-24(8).JPG,  False
     49,   02__Station13__Camera1__2012-08-23__09-26-05(8).JPG,  False
     50,  02__Station13__Camera1__2012-09-13__15-21-33(18).JPG,  False
     51,  02__Station13__Camera1__2012-08-23__09-24-36(13).JPG,  False
     52,  02__Station14__Camera1__2012-07-25__10-55-37(21).JPG,  False
     53,   01__Station5__Camera1__2012-06-19__14-57-11(15).JPG,  False
     54,   01__Station14__Camera1__2012-08-31__05-08-13(7).JPG,  False
     55,    01__Station5__Camera1__2012-06-19__14-57-00(1).JPG,  False
     56,   02__Station13__Camera1__2012-07-18__19-46-58(4).JPG,  False
     57,   02__Station6__Camera1__2012-07-10__16-22-56(65).JPG,  False
     58,    01__Station5__Camera1__2012-06-14__18-38-09(1).JPG,  False
     59,  01__Station14__Camera1__2012-08-31__05-08-17(12).JPG,  False
     60,   01__Station5__Camera1__2012-06-14__18-38-27(19).JPG,  False
     61,   01__Station5__Camera1__2012-06-19__14-55-46(11).JPG,  False
     62,   02__Station13__Camera1__2012-09-13__15-21-26(8).JPG,  False
     63,   02__Station6__Camera1__2012-07-10__16-23-16(17).JPG,  False
     64,    01__Station4__Camera2__2012-07-22__00-53-20(1).JPG,  False
     65,    01__Station5__Camera1__2012-06-14__18-39-18(1).JPG,  False
     66,    02__Station6__Camera1__2012-07-10__16-22-11(5).JPG,  False
     67,    01__Station5__Camera1__2012-06-14__18-38-13(7).JPG,  False
     68,  02__Station13__Camera1__2012-08-23__09-25-19(20).JPG,  False
     69,   02__Station6__Camera1__2012-08-18__21-30-22(11).JPG,  False
     70,  02__Station13__Camera1__2012-07-18__19-47-29(43).JPG,  False
     71,  02__Station13__Camera1__2012-07-18__19-47-15(24).JPG,  False
     72,   02__Station22__Camera1__2012-06-25__01-40-23(1).JPG,  False
     73,   02__Station26__Camera2__2012-09-22__00-30-23(1).JPG,  False
     74,  02__Station13__Camera1__2012-08-17__12-48-53(15).JPG,  False
     75,  02__Station13__Camera1__2012-09-13__15-21-31(15).JPG,  False
     76,    02__Station6__Camera1__2012-07-10__16-22-12(6).JPG,  False
     77,   01__Station5__Camera1__2012-06-19__14-56-38(40).JPG,  False
     78,  02__Station13__Camera1__2012-09-13__15-21-37(24).JPG,  False
     79,    01__Station5__Camera1__2012-09-11__00-48-02(5).JPG,  False
     80,   01__Station5__Camera1__2012-06-19__14-57-21(28).JPG,  False
     81,   02__Station6__Camera1__2012-07-10__16-22-51(58).JPG,  False
     82,    01__Station5__Camera1__2012-06-14__18-38-12(6).JPG,  False
     83,   02__Station13__Camera1__2012-08-17__12-48-38(6).JPG,  False
     84,   02__Station6__Camera1__2012-08-18__21-30-42(32).JPG,  False
     85,   02__Station13__Camera1__2012-08-23__09-24-28(4).JPG,  False
     86,   02__Station6__Camera1__2012-08-18__21-30-24(14).JPG,  False
     87,  01__Station14__Camera1__2012-08-31__05-08-20(18).JPG,  False
     88,  02__Station13__Camera1__2012-07-18__19-47-23(33).JPG,  False
     89,   02__Station13__Camera1__2012-07-18__19-46-57(2).JPG,  False
     90,   02__Station13__Camera1__2012-09-13__15-21-24(4).JPG,  False
     91,   01__Station5__Camera1__2012-06-14__18-38-23(13).JPG,  False
     92,  02__Station13__Camera1__2012-07-18__19-47-45(65).JPG,  False
     93,    01__Station5__Camera1__2012-07-17__04-14-33(7).JPG,  False
     94,   01__Station5__Camera1__2012-06-19__14-56-07(11).JPG,  False
     95,   02__Station22__Camera1__2012-05-13__05-14-05(1).JPG,  False
     96,    02__Station6__Camera1__2012-08-18__21-30-09(3).JPG,  False
     97,  02__Station13__Camera1__2012-07-18__19-47-14(23).JPG,  False
     98,   01__Station5__Camera1__2012-06-19__14-57-14(19).JPG,  False
     99,  02__Station13__Camera1__2012-07-18__19-47-41(59).JPG,  False
    100,   02__Station6__Camera1__2012-07-10__16-22-39(40).JPG,  False
    101,  02__Station13__Camera1__2012-09-13__15-21-35(21).JPG,  False
    102,   02__Station6__Camera1__2012-07-10__16-22-48(53).JPG,  False
