# chip table
# NumData 176
#   ChipID,  ImgID,  NameID,  roi[tl_x  tl_y  w  h],  theta
         1,      1,       0,      [576 288 684 334],    0.0
         2,      1,       0,  [1060  584  385  160],    0.0
         3,      2,       0,      [456 645 356 435],    0.0
         4,      3,       0,      [193 640 356 128],    0.0
         5,      3,       0,      [160 457 174 190],    0.0
         6,      4,       0,      [741 576 482 245],    0.0
         7,      5,       0,      [584 417 224 269],    0.0
         8,      5,       0,      [544 363  68 254],    0.0
         9,      6,       0,      [940 552 640 321],    0.0
        10,      7,       0,  [1200  736  443  344],    0.0
        11,      8,       0,  [1119  656  322  186],    0.0
        12,      9,       0,  [1094  640  322  201],    0.0
        13,     10,       0,      [379 888 685 307],    0.0
        14,     10,       0,  [ 160 1068  305  336],    0.0
        15,     11,       0,  [1164  656  319  133],    0.0
        16,     11,       0,  [1319  576  291   97],    0.0
        17,     12,       0,      [379 416 680 265],    0.0
        18,     12,       0,      [747 328 352 121],    0.0
        19,     13,       0,  [1008  407  441  444],    0.0
        20,     13,       0,      [904 430 159 336],    0.0
        21,     14,       0,      [534 624 470 219],    0.0
        22,     14,       0,      [946 736 316 203],    0.0
        23,     15,       0,      [820 448 554 419],    0.0
        24,     15,       0,      [640 615 249 465],    0.0
        25,     16,       0,  [1309  312  611  597],    0.0
        26,     17,       0,      [872 431 419 649],    0.0
        27,     18,       0,      [240 546 292 307],    0.0
        28,     18,       0,      [496 672 147 142],    0.0
        29,     19,       0,      [765 560 427 242],    0.0
        30,     20,       0,      [971 384 469 357],    0.0
        31,     21,       0,      [  0 522 110 558],    0.0
        32,     22,       0,  [1204  856  390  224],    0.0
        33,     22,       0,  [1088  728  287  156],    0.0
        34,     23,       0,  [1199  656  359  267],    0.0
        35,     23,       0,  [1440  896  340  184],    0.0
        36,     24,       0,  [1163  656  308  131],    0.0
        37,     24,       0,  [1335  584  257   88],    0.0
        38,     25,       0,  [1200  419  256  661],    0.0
        39,     25,       0,  [1160  214   72  686],    0.0
        40,     26,       0,  [1202  824  365  256],    0.0
        41,     26,       0,  [1064  728  316  128],    0.0
        42,     27,       0,      [838 496 455 387],    0.0
        43,     27,       0,  [1096  168  227  376],    0.0
        44,     28,       0,      [793 712 580 268],    0.0
        45,     28,       0,      [219 960 755 120],    0.0
        46,     29,       0,      [832 427 443 653],    0.0
        47,     30,       0,  [1043  392  418  418],    0.0
        48,     30,       0,  [1416  610  235  286],    0.0
        49,     31,       0,  [1104  409  402  430],    0.0
        50,     31,       0,  [1456  622  177  306],    0.0
        51,     32,       0,  [1072  735  264  345],    0.0
        52,     33,       0,      [588 408 815 187],    0.0
        53,     33,       0,      [784 572 204 326],    0.0
        54,     33,       0,  [1312  275   91  590],    0.0
        55,     34,       0,      [960 426 344 515],    0.0
        56,     34,       0,  [1056  112  153  378],    0.0
        57,     35,       0,      [864   0 225 983],    0.0
        58,     35,       0,      [577 904 459 176],    0.0
        59,     36,       0,      [873 480 448 427],    0.0
        60,     36,       0,      [846 856 323 224],    0.0
        61,     37,       0,      [148 400 429 335],    0.0
        62,     37,       0,      [524 496 857  77],    0.0
        63,     38,       0,      [  0 776 641 319],    0.0
        64,     38,       0,      [  0 769  80 767],    0.0
        65,     39,       0,      [368 665 405 415],    0.0
        66,     40,       0,      [486 424 351 327],    0.0
        67,     40,       0,      [629 712 348 164],    0.0
        68,     41,       0,      [618 328 585 373],    0.0
        69,     41,       0,      [862 176 706 195],    0.0
