# image table
# NumData 27
#   gid,                                       gname,    aif
      1,  Murghab_Concession=ATO13=P022=IMG_2123.JPG,  False
      2,  Murghab_Concession=ATO13=P022=IMG_2130.JPG,  False
      3,  Murghab_Concession=ATO13=P022=IMG_2118.JPG,  False
      4,  Murghab_Concession=ATO13=P022=IMG_2134.JPG,  False
      5,  Murghab_Concession=ATO13=P022=IMG_2140.JPG,  False
      6,  Murghab_Concession=ATO13=P022=IMG_2139.JPG,  False
      7,  Murghab_Concession=ATO13=P022=IMG_2136.JPG,  False
      8,  Murghab_Concession=ATO13=P022=IMG_2138.JPG,  False
      9,  Murghab_Concession=ATO13=P022=IMG_2137.JPG,  False
     10,  Murghab_Concession=ATO13=P022=IMG_2129.JPG,  False
     11,  Murghab_Concession=ATO13=P022=IMG_2116.JPG,  False
     12,  Murghab_Concession=ATO13=P022=IMG_2121.JPG,  False
     13,  Murghab_Concession=ATO13=P022=IMG_2125.JPG,  False
     14,  Murghab_Concession=ATO13=P022=IMG_2114.JPG,  False
     15,  Murghab_Concession=ATO13=P022=IMG_2127.JPG,  False
     16,  Murghab_Concession=ATO13=P022=IMG_2135.JPG,  False
     17,  Murghab_Concession=ATO13=P022=IMG_2131.JPG,  False
     18,  Murghab_Concession=ATO13=P022=IMG_2124.JPG,  False
     19,  Murghab_Concession=ATO13=P022=IMG_2128.JPG,  False
     20,  Murghab_Concession=ATO13=P022=IMG_2122.JPG,  False
     21,  Murghab_Concession=ATO13=P022=IMG_2132.JPG,  False
     22,  Murghab_Concession=ATO13=P022=IMG_2117.JPG,  False
     23,  Murghab_Concession=ATO13=P022=IMG_2126.JPG,  False
     24,  Murghab_Concession=ATO13=P022=IMG_2133.JPG,  False
     25,  Murghab_Concession=ATO13=P022=IMG_2115.JPG,  False
     26,  Murghab_Concession=ATO13=P022=IMG_2119.JPG,  False
     27,  Murghab_Concession=ATO13=P022=IMG_2120.JPG,  False
