# chip table
# NumData 71
#   ChipID,  ImgID,  NameID,  roi[tl_x  tl_y  w  h],  theta
         1,      1,       0,      [710 416 790 313],    0.0
         2,      1,       0,      [544 529 259 400],    0.0
         3,      2,       0,  [1144  363  468  468],    0.0
         4,      2,       0,  [1400  773  259  307],    0.0
         5,      2,       0,      [745 416 457 140],    0.0
         6,      3,       0,      [706 416 808 307],    0.0
         7,      3,       0,  [1136  216  435  238],    0.0
         8,      3,       0,      [552 505 255 316],    0.0
         9,      4,       0,      [689 424 602 477],    0.0
        10,      4,       0,  [1016  107  275  377],    0.0
        11,      5,       0,      [704 283 230 688],    0.0
        12,      5,       0,      [840   0 257 369],    0.0
        13,      5,       0,      [912 323  91 483],    0.0
        14,      6,       0,      [680 328 328 487],    0.0
        15,      6,       0,      [832   0 268 389],    0.0
        16,      6,       0,      [578 760 365 133],    0.0
        17,      7,       0,      [768 367 408 539],    0.0
        18,      7,       0,      [976   0 334 414],    0.0
        19,      8,       0,      [688 282 306 514],    0.0
        20,      8,       0,      [862   0 358 273],    0.0
        21,      8,       0,      [529 736 410 128],    0.0
        22,      9,       0,      [680 318 459 762],    0.0
        23,     10,       0,      [700 424 937 299],    0.0
        24,     10,       0,      [520 569 216 511],    0.0
        25,     10,       0,  [1188  192  361  269],    0.0
        26,     11,       0,      [720 408 864 307],    0.0
        27,     11,       0,  [1328  677  281  403],    0.0
        28,     11,       0,      [560 494 268 372],    0.0
        29,     12,       0,      [642 448 812 277],    0.0
        30,     12,       0,      [520 564 187 516],    0.0
        31,     12,       0,  [1158  240  390  243],    0.0
        32,     13,       0,      [710 408 773 329],    0.0
        33,     13,       0,      [528 526 261 398],    0.0
        34,     13,       0,  [1392  245   91  835],    0.0
        35,     14,       0,      [680 424 880 282],    0.0
        36,     14,       0,  [1272  671  364  409],    0.0
        37,     14,       0,  [1093  240  467  219],    0.0
        38,     15,       0,      [691 424 942 301],    0.0
        39,     15,       0,  [1344  688  286  392],    0.0
        40,     15,       0,  [1157  192  389  270],    0.0
        41,     16,       0,      [684 424 633 457],    0.0
        42,     16,       0,  [1024    0  243  481],    0.0
        43,     17,       0,  [1024  379  458  509],    0.0
        44,     17,       0,  [1128    0  237  443],    0.0
        45,     17,       0,      [630 512 451 220],    0.0
        46,     18,       0,      [659 440 786 299],    0.0
        47,     18,       0,      [520 565 237 402],    0.0
        48,     19,       0,      [666 432 888 294],    0.0
        49,     19,       0,  [1179  192  377  277],    0.0
        50,     19,       0,      [512 575 167 505],    0.0
        51,     20,       0,      [722 416 729 306],    0.0
        52,     20,       0,      [528 557 252 406],    0.0
        53,     20,       0,  [1239  248  284  206],    0.0
        54,     21,       0,      [585 456 658 424],    0.0
        55,     21,       0,      [976   0 306 509],    0.0
        56,     22,       0,      [680 424 917 289],    0.0
        57,     22,       0,  [1360  677  274  403],    0.0
        58,     22,       0,      [544 507 251 351],    0.0
        59,     23,       0,      [689 424 789 306],    0.0
        60,     23,       0,      [512 575 240 505],    0.0
        61,     23,       0,  [1138  232  418  230],    0.0
        62,     24,       0,      [573 456 696 367],    0.0
        63,     24,       0,  [1008    0  278  475],    0.0
        64,     25,       0,      [685 424 934 279],    0.0
        65,     25,       0,  [1312  669  297  411],    0.0
        66,     25,       0,  [1098  208  463  251],    0.0
        67,     26,       0,      [715 416 798 303],    0.0
        68,     26,       0,  [1162  192  429  262],    0.0
        69,     26,       0,      [560 497 255 364],    0.0
        70,     27,       0,  [1208  230  433  668],    0.0
        71,     27,       0,      [647 448 615 270],    0.0
