Cat ID,Image Name,Study ID, Station, Camera, Date, Time
Cat_1,02__Station13__Camera1__2012-8-6__12-17-34(2).JPG,02,Station13,Camera1,2012-8-6,12-17-34
Cat_1,02__Station13__Camera1__2012-8-6__12-17-48(0).JPG,02,Station13,Camera1,2012-8-6,12-17-48
Cat_1,02__Station13__Camera1__2012-8-6__12-17-40(1).JPG,02,Station13,Camera1,2012-8-6,12-17-40
Cat_1,02__Station13__Camera1__2012-8-6__12-17-46(9).JPG,02,Station13,Camera1,2012-8-6,12-17-46
Cat_1,02__Station13__Camera1__2012-8-6__12-17-26(7).JPG,02,Station13,Camera1,2012-8-6,12-17-26
Cat_1,02__Station13__Camera1__2012-8-6__12-17-26(8).JPG,02,Station13,Camera1,2012-8-6,12-17-26
Cat_1,02__Station13__Camera1__2012-8-6__12-17-24(5).JPG,02,Station13,Camera1,2012-8-6,12-17-24
Cat_1,02__Station13__Camera1__2012-8-6__12-17-22(4).JPG,02,Station13,Camera1,2012-8-6,12-17-22
Cat_1,02__Station13__Camera1__2012-8-6__12-17-42(3).JPG,02,Station13,Camera1,2012-8-6,12-17-42
Cat_1,02__Station13__Camera1__2012-8-6__12-17-34(3).JPG,02,Station13,Camera1,2012-8-6,12-17-34
Cat_1,02__Station13__Camera1__2012-8-6__12-17-36(6).JPG,02,Station13,Camera1,2012-8-6,12-17-36
Cat_1,02__Station13__Camera1__2012-8-6__12-17-34(4).JPG,02,Station13,Camera1,2012-8-6,12-17-34
Cat_1,02__Station13__Camera1__2012-8-6__12-17-44(5).JPG,02,Station13,Camera1,2012-8-6,12-17-44
Cat_1,02__Station13__Camera1__2012-8-6__12-17-36(5).JPG,02,Station13,Camera1,2012-8-6,12-17-36
Cat_1,02__Station13__Camera1__2012-8-6__12-17-26(6).JPG,02,Station13,Camera1,2012-8-6,12-17-26
Cat_1,02__Station13__Camera1__2012-8-6__12-17-38(0).JPG,02,Station13,Camera1,2012-8-6,12-17-38
Cat_1,02__Station13__Camera1__2012-8-6__12-17-34(1).JPG,02,Station13,Camera1,2012-8-6,12-17-34
Cat_1,02__Station13__Camera1__2012-8-6__12-17-28(9).JPG,02,Station13,Camera1,2012-8-6,12-17-28
Cat_1,02__Station13__Camera1__2012-8-6__12-17-40(2).JPG,02,Station13,Camera1,2012-8-6,12-17-40
Cat_1,02__Station13__Camera1__2012-8-6__12-17-46(8).JPG,02,Station13,Camera1,2012-8-6,12-17-46
Cat_1,02__Station13__Camera1__2012-8-6__12-17-38(8).JPG,02,Station13,Camera1,2012-8-6,12-17-38
Cat_1,02__Station13__Camera1__2012-8-6__12-17-42(4).JPG,02,Station13,Camera1,2012-8-6,12-17-42
Cat_1,02__Station13__Camera1__2012-8-6__12-17-44(6).JPG,02,Station13,Camera1,2012-8-6,12-17-44
Cat_1,02__Station13__Camera1__2012-8-6__12-17-36(7).JPG,02,Station13,Camera1,2012-8-6,12-17-36
Cat_1,02__Station13__Camera1__2012-8-6__12-17-38(9).JPG,02,Station13,Camera1,2012-8-6,12-17-38
Cat_1,02__Station13__Camera1__2012-8-6__12-17-28(0).JPG,02,Station13,Camera1,2012-8-6,12-17-28
Cat_1,02__Station13__Camera1__2012-8-6__12-17-46(7).JPG,02,Station13,Camera1,2012-8-6,12-17-46
Cat_2,02__Station12__Camera2__2012-5-4__22-23-2(3).JPG,02,Station12,Camera2,2012-5-4,22-23-2
Cat_2,02__Station12__Camera2__2012-5-4__22-22-50(0).JPG,02,Station12,Camera2,2012-5-4,22-22-50
Cat_2,02__Station12__Camera2__2012-5-4__22-22-38(9).JPG,02,Station12,Camera2,2012-5-4,22-22-38
Cat_2,02__Station10__Camera1__2012-9-9__4-54-56(1).JPG,02,Station10,Camera1,2012-9-9,4-54-56
Cat_2,02__Station12__Camera2__2012-5-4__22-23-6(6).JPG,02,Station12,Camera2,2012-5-4,22-23-6
Cat_2,02__Station12__Camera2__2012-5-4__22-23-2(4).JPG,02,Station12,Camera2,2012-5-4,22-23-2
Cat_2,02__Station12__Camera2__2012-5-4__22-23-6(7).JPG,02,Station12,Camera2,2012-5-4,22-23-6
Cat_2,02__Station12__Camera2__2012-5-4__22-23-4(5).JPG,02,Station12,Camera2,2012-5-4,22-23-4
Cat_2,02__Station22__Camera1__2012-5-4__2-4-48(9).JPG,02,Station22,Camera1,2012-5-4,2-4-48
Cat_2,02__Station12__Camera2__2012-5-4__22-22-36(6).JPG,02,Station12,Camera2,2012-5-4,22-22-36
Cat_2,02__Station10__Camera1__2012-9-9__4-54-56(2).JPG,02,Station10,Camera1,2012-9-9,4-54-56
Cat_2,02__Station10__Camera1__2012-9-9__4-54-54(0).JPG,02,Station10,Camera1,2012-9-9,4-54-54
Cat_2,02__Station12__Camera2__2012-5-4__22-22-36(7).JPG,02,Station12,Camera2,2012-5-4,22-22-36
Cat_2,02__Station22__Camera1__2012-5-4__2-4-30(0).JPG,02,Station22,Camera1,2012-5-4,2-4-30
Cat_2,02__Station12__Camera2__2012-5-4__22-22-50(1).JPG,02,Station12,Camera2,2012-5-4,22-22-50
Cat_2,02__Station12__Camera2__2012-5-4__22-22-36(8).JPG,02,Station12,Camera2,2012-5-4,22-22-36
Cat_2,02__Station12__Camera2__2012-5-4__22-22-40(0).JPG,02,Station12,Camera2,2012-5-4,22-22-40
Cat_2,02__Station12__Camera2__2012-5-4__22-22-52(2).JPG,02,Station12,Camera2,2012-5-4,22-22-52
