# image table
# NumData 14
#   gid,                                              gname,    aif
      1,  02__Station12__Camera2__2012-5-4__22-22-36(6).JPG,  False
      2,  02__Station12__Camera2__2012-5-4__22-22-36(7).JPG,  False
      3,  02__Station12__Camera2__2012-5-4__22-22-36(8).JPG,  False
      4,  02__Station12__Camera2__2012-5-4__22-22-38(9).JPG,  False
      5,  02__Station12__Camera2__2012-5-4__22-22-40(0).JPG,  False
      6,  02__Station12__Camera2__2012-5-4__22-22-50(0).JPG,  False
      7,  02__Station12__Camera2__2012-5-4__22-22-50(1).JPG,  False
      8,  02__Station12__Camera2__2012-5-4__22-22-52(2).JPG,  False
      9,   02__Station12__Camera2__2012-5-4__22-23-2(3).JPG,  False
     10,   02__Station12__Camera2__2012-5-4__22-23-2(4).JPG,  False
     11,   02__Station12__Camera2__2012-5-4__22-23-4(5).JPG,  False
     12,   02__Station12__Camera2__2012-5-4__22-23-6(6).JPG,  False
     13,   02__Station12__Camera2__2012-5-4__22-23-6(7).JPG,  False
     14,    02__Station22__Camera1__2012-5-4__2-4-48(9).JPG,  False
