# chip table
# NumData 44
#   ChipID,  ImgID,  NameID,  roi[tl_x  tl_y  w  h],  theta
         1,      1,       0,  [1024  529  291  474],    0.0
         2,      1,       0,      [  0 712 487 207],    0.0
         3,      1,       0,  [1348 1080  299  190],    0.0
         4,      2,       0,  [1064  530  251  497],    0.0
         5,      2,       0,      [  0 704 477 141],    0.0
         6,      2,       0,  [1348 1112  315  149],    0.0
         7,      2,       0,  [1024  512   71  442],    0.0
         8,      3,       0,  [1064  528  250  499],    0.0
         9,      3,       0,      [  0 704 505 149],    0.0
        10,      3,       0,  [1439 1120  217  190],    0.0
        11,      3,       0,      [944 518 151 199],    0.0
        12,      4,       0,  [1064  529  249  499],    0.0
        13,      4,       0,      [  0 696 519 155],    0.0
        14,      4,       0,  [1443 1168  229  151],    0.0
        15,      4,       0,      [928 522 167 191],    0.0
        16,      5,       0,  [1048  530  274  520],    0.0
        17,      5,       0,      [  0 704 524 147],    0.0
        18,      5,       0,      [877 544 205 205],    0.0
        19,      5,       0,  [1107  992  272  140],    0.0
        20,      6,       0,  [1072  551  225  587],    0.0
        21,      6,       0,  [1272  874  245  436],    0.0
        22,      7,       0,  [1064  569  237  574],    0.0
        23,      7,       0,  [1177 1072  255  217],    0.0
        24,      7,       0,  [1008  549   86  467],    0.0
        25,      8,       0,  [1072  665  279  480],    0.0
        26,      8,       0,  [1239 1086  200  200],    0.0
        27,      8,       0,  [1062  552  230  173],    0.0
        28,      9,       0,      [888 625 407 414],    0.0
        29,      9,       0,  [1248  746  184  301],    0.0
        30,     10,       0,      [896 607 379 449],    0.0
        31,     10,       0,  [1232  811  152  280],    0.0
        32,     11,       0,      [856 651 348 382],    0.0
        33,     11,       0,  [1161  891  203  203],    0.0
        34,     12,       0,      [880 616 262 432],    0.0
        35,     12,       0,  [1144  891  211  214],    0.0
        36,     12,       0,  [1336  994  147  181],    0.0
        37,     13,       0,      [856 669 315 364],    0.0
        38,     13,       0,  [1157  976  330  142],    0.0
        39,     13,       0,      [887 584 215 130],    0.0
        40,     14,       0,  [1064  486  261  297],    0.0
        41,     14,       0,  [1583  563  163  163],    0.0
        42,     14,       0,  [1688 1424  219  112],    0.0
        43,     14,       0,  [1648 1376  181   62],    0.0
        44,     14,       0,  [1064  486   33  339],    0.0
