exclusion_factor,stopping_criterion,self_loop_weight,same_image_score,same_set_boost,maximum_time_delta,minimum_same_set_weight,inflation_factor,maximum_iterations,expansion_factor,multiplication_factor,autochip_runtime,autoquery_runtime,clustering_runtime,AutoChip done,AutoQuery done,Clustering done,Date/Time
2.0,0.6000000238418579,0,0.9,0.8,90,0.25,1.23,2000,3,2,88.34460401535034,0,0,1,0,0,2018-04-24 17:12:22.709502
2.0,0.6000000238418579,0,0.9,0.8,90,0.25,1.23,2000,3,2,0,4.868572950363159,0,['1'],1,['0'],2018-04-24 22:07:15.631785
2.0,0.6000000238418579,0,0.9,0.8,90,0.25,1.23,2000,3,2,0,0.022763967514038086,0,0,1,0,2018-04-24 22:07:50.671697
0.75,0.6,0,0.9,0.8,90,0.25,1.23,2000,3,2,124.67200016975403,0,0,1,0,0,2018-05-10 16:36:30.525000
0.75,0.6,0,0.9,0.8,90,0.25,1.23,2000,3,2,0,7.677999973297119,0,['1'],1,['0'],2018-05-10 16:45:39.578000
0.75,0.6,0,0.9,0.8,90,0.25,1.23,2000,3,2,0,7.677999973297119,0.10299992561340332,['1'],1,1,2018-05-10 16:45:42.995000
0.75,0.6,0,0.9,0.8,90,0.25,1.23,2000,3,2,124.97199988365173,7.677999973297119,0.10299992561340332,1,0,0,2018-05-10 16:48:26.536000
0.75,0.6,0,0.9,0.8,90,0.25,1.23,2000,3,2,124.97199988365173,12.03600001335144,0.10299992561340332,1,1,0,2018-05-10 16:49:11.030000
0.75,0.6,0,0.9,0.8,90,0.25,1.23,2000,3,2,124.97199988365173,12.03600001335144,0.09999990463256836,1,1,1,2018-05-10 16:49:14.370000
0.75,0.6,0,0.9,0.8,90,0.25,1.23,2000,3,2,0,10.710000038146973,0,['1'],1,['1'],2018-05-10 17:13:14.480000
0.75,0.6,0,0.9,0.8,90,0.25,1.23,2000,3,2,0,10.710000038146973,0.11599993705749512,['1'],1,1,2018-05-10 17:13:18.974000
